,0,1,2,3,4
304,"('10', '00')",_0,-2,"('10', '10')",False
305,"('10', '10')",_2,-2,"('12', '10')",False
306,"('12', '10')",_0,-2,"('10', '12')",False
307,"('10', '12')",_1,-2,"('11', '10')",False
308,"('11', '10')",0_,-2,"('01', '11')",False
309,"('01', '11')",_0,10,"('00', '01')",False
310,"('00', '01')",1_,-2,"('10', '00')",False
311,"('10', '00')",_0,-2,"('10', '10')",False
312,"('10', '10')",0_,-2,"('00', '10')",False
313,"('00', '10')",2_,-2,"('20', '00')",False
314,"('20', '00')",_2,-2,"('22', '20')",False
315,"('22', '20')",1_,-2,"('12', '22')",False
316,"('12', '22')",0_,-2,"('02', '12')",False
317,"('02', '12')",_0,5,"('00', '02')",False
318,"('00', '02')",_0,-2,"('00', '00')",False
319,"('00', '00')",_0,-2,"('00', '00')",False
320,"('00', '00')",_0,-2,"('00', '00')",False
321,"('02', '02')",_0,10,"('00', '02')",True
322,"('20', '10')",0_,-2,"('00', '20')",False
323,"('00', '20')",_1,-10,"('01', '00')",False
324,"('01', '00')",_0,10,"('00', '01')",False
325,"('00', '01')",1_,-2,"('10', '00')",False
326,"('10', '00')",1_,-2,"('10', '10')",False
327,"('10', '10')",0_,-2,"('00', '10')",False
328,"('00', '10')",0_,-2,"('00', '00')",False
329,"('00', '00')",1_,-2,"('10', '00')",False
330,"('10', '00')",_0,-2,"('10', '10')",False
331,"('10', '10')",0_,-2,"('00', '10')",False
332,"('00', '10')",_0,-2,"('00', '00')",False
333,"('00', '00')",1_,-2,"('10', '00')",False
334,"('10', '00')",_0,-2,"('10', '10')",False
335,"('10', '10')",_1,-2,"('11', '10')",False
336,"('11', '10')",0_,-5,"('01', '11')",False
337,"('01', '11')",_0,10,"('00', '01')",False
338,"('00', '01')",_2,-10,"('02', '00')",False
339,"('02', '00')",2_,-2,"('22', '02')",False
340,"('22', '02')",_2,-2,"('22', '22')",False
341,"('22', '22')",_1,-2,"('21', '22')",False
342,"('22', '22')",0_,-2,"('02', '22')",False
343,"('02', '22')",_0,10,"('00', '02')",False
344,"('00', '02')",1_,-2,"('10', '00')",False
345,"('10', '00')",_0,-2,"('10', '10')",False
346,"('10', '10')",2_,-2,"('20', '10')",False
347,"('20', '10')",0_,-2,"('00', '20')",False
348,"('00', '20')",_0,-2,"('00', '00')",False
349,"('00', '00')",_0,-2,"('00', '00')",False
350,"('00', '00')",1_,-2,"('10', '00')",False
351,"('10', '00')",_0,-2,"('10', '10')",False
352,"('10', '10')",0_,-2,"('00', '10')",False
353,"('00', '10')",2_,-2,"('20', '00')",False
354,"('20', '00')",0_,-2,"('00', '20')",False
355,"('00', '20')",_0,-2,"('00', '00')",False
356,"('00', '00')",1_,-2,"('10', '00')",False
357,"('10', '00')",_0,-2,"('10', '10')",False
358,"('10', '10')",0_,-2,"('00', '10')",False
359,"('00', '10')",_0,-2,"('00', '00')",False
360,"('00', '00')",_0,-2,"('00', '00')",False
361,"('00', '00')",_0,-2,"('00', '00')",False
362,"('11', '11')",_2,-2,"('12', '11')",False
363,"('12', '11')",_0,-2,"('10', '12')",False
364,"('10', '12')",0_,-2,"('00', '10')",False
365,"('00', '10')",_0,-2,"('00', '00')",False
366,"('00', '00')",_0,-2,"('00', '00')",False
367,"('00', '00')",_0,-2,"('00', '00')",False
368,"('00', '00')",_0,-2,"('00', '00')",False
369,"('00', '00')",_0,-2,"('00', '00')",False
370,"('00', '00')",1_,-2,"('10', '00')",False
371,"('10', '00')",0_,-2,"('00', '10')",False
372,"('00', '10')",_0,-2,"('00', '00')",False
373,"('00', '00')",1_,-2,"('10', '00')",False
374,"('10', '00')",2_,-2,"('20', '10')",False
375,"('20', '10')",_2,-2,"('22', '20')",False
376,"('22', '20')",0_,-2,"('02', '22')",False
377,"('02', '22')",_1,-2,"('01', '02')",False
378,"('01', '02')",2_,-2,"('21', '01')",False
379,"('21', '01')",0_,-2,"('01', '21')",False
380,"('01', '21')",0_,-2,"('01', '01')",False
381,"('01', '01')",_0,10,"('00', '01')",False
382,"('21', '21')",_0,-2,"('20', '21')",False
383,"('20', '21')",2_,-2,"('20', '20')",False
384,"('20', '20')",0_,-2,"('00', '20')",False
385,"('00', '20')",_0,-2,"('00', '00')",False
386,"('00', '00')",0_,-2,"('00', '00')",False
387,"('00', '00')",2_,-2,"('20', '00')",False
388,"('20', '00')",0_,-2,"('00', '20')",False
389,"('00', '20')",_0,-2,"('00', '00')",False
390,"('00', '00')",1_,-2,"('10', '00')",False
391,"('10', '00')",0_,-2,"('00', '10')",False
392,"('00', '10')",_0,-2,"('00', '00')",False
393,"('00', '00')",2_,-2,"('20', '00')",False
394,"('20', '00')",0_,-2,"('00', '20')",False
395,"('00', '20')",_0,-2,"('00', '00')",False
396,"('00', '00')",_2,-10,"('02', '00')",False
397,"('02', '00')",_1,-2,"('01', '02')",False
398,"('01', '02')",_2,-5,"('02', '01')",False
399,"('02', '01')",_0,10,"('00', '02')",False
400,"('00', '02')",_0,-2,"('00', '00')",False
401,"('00', '00')",0_,-2,"('00', '00')",False
402,"('02', '02')",1_,-2,"('12', '02')",False
403,"('12', '02')",1_,-2,"('12', '12')",False
404,"('12', '12')",0_,-2,"('02', '12')",False
405,"('02', '12')",_0,10,"('00', '02')",False
406,"('00', '02')",1_,-2,"('10', '00')",False
407,"('10', '00')",0_,-2,"('00', '10')",False
408,"('00', '10')",_2,-10,"('02', '00')",False
409,"('02', '00')",_2,-2,"('02', '02')",False
410,"('02', '02')",_0,10,"('00', '02')",False
411,"('00', '02')",2_,-5,"('20', '00')",False
412,"('20', '00')",0_,-2,"('00', '20')",False
413,"('00', '20')",1_,-2,"('10', '00')",False
414,"('10', '00')",0_,-5,"('00', '10')",False
415,"('00', '10')",_0,-2,"('00', '00')",False
416,"('00', '00')",0_,-2,"('00', '00')",False
417,"('00', '00')",0_,-2,"('00', '00')",False
418,"('00', '00')",0_,-2,"('00', '00')",False
419,"('00', '00')",0_,-2,"('00', '00')",False
420,"('00', '00')",0_,-2,"('00', '00')",False
421,"('00', '00')",0_,-2,"('00', '00')",False
422,"('02', '01')",_0,10,"('00', '02')",True
423,"('01', '21')",_2,-2,"('02', '01')",False
424,"('02', '01')",_0,10,"('00', '02')",False
425,"('00', '02')",2_,-2,"('20', '00')",False
426,"('20', '00')",0_,-2,"('00', '20')",False
427,"('00', '20')",_0,-2,"('00', '00')",False
428,"('00', '00')",0_,-2,"('00', '00')",False
429,"('00', '00')",0_,-2,"('00', '00')",False
430,"('00', '00')",0_,-2,"('00', '00')",False
431,"('00', '00')",_2,-10,"('02', '00')",False
432,"('02', '00')",_1,-2,"('01', '02')",False
433,"('01', '02')",_0,10,"('00', '01')",False
434,"('00', '01')",2_,-2,"('20', '00')",False
435,"('20', '00')",0_,5,"('00', '20')",False
436,"('00', '20')",_0,-2,"('00', '00')",False
437,"('00', '00')",0_,-2,"('00', '00')",False
438,"('00', '00')",1_,-2,"('10', '00')",False
439,"('10', '00')",_0,-2,"('10', '10')",False
440,"('10', '10')",0_,5,"('00', '10')",False
441,"('00', '10')",2_,-2,"('20', '00')",False
442,"('20', '00')",2_,-2,"('20', '20')",False
443,"('11', '21')",0_,-5,"('01', '11')",False
444,"('01', '11')",_0,10,"('00', '01')",False
445,"('00', '01')",2_,-2,"('20', '00')",False
446,"('20', '00')",0_,-2,"('00', '20')",False
447,"('00', '20')",_0,-2,"('00', '00')",False
448,"('00', '00')",1_,-2,"('10', '00')",False
449,"('10', '00')",0_,-2,"('00', '10')",False
450,"('00', '10')",_0,-2,"('00', '00')",False
451,"('00', '00')",2_,-2,"('20', '00')",False
452,"('20', '00')",0_,-2,"('00', '20')",False
453,"('00', '20')",_0,-2,"('00', '00')",False
454,"('00', '00')",2_,-2,"('20', '00')",False
455,"('20', '00')",1_,-2,"('10', '20')",False
456,"('10', '20')",1_,-2,"('10', '10')",False
457,"('10', '10')",0_,-2,"('00', '10')",False
