,0,1,2,3,4
270,"('22', '22')",2_,-2,"('22', '22')",False
271,"('22', '22')",2_,-2,"('22', '22')",False
272,"('22', '22')",2_,-2,"('22', '22')",False
273,"('22', '22')",_1,-2,"('21', '22')",False
274,"('21', '22')",_1,-2,"('21', '21')",False
275,"('21', '21')",2_,-2,"('21', '21')",False
276,"('21', '21')",1_,-2,"('11', '21')",False
277,"('11', '21')",_0,-2,"('10', '11')",False
278,"('10', '11')",0_,-2,"('00', '10')",False
279,"('00', '10')",1_,-2,"('10', '00')",False
280,"('02', '02')",_0,10,"('00', '02')",True
281,"('10', '20')",2_,-2,"('20', '10')",False
282,"('20', '10')",1_,-2,"('10', '20')",False
283,"('10', '20')",_0,-2,"('10', '10')",False
284,"('10', '10')",_0,-2,"('10', '10')",False
285,"('10', '10')",0_,5,"('00', '10')",False
286,"('00', '10')",1_,-2,"('10', '00')",False
287,"('10', '00')",_0,-2,"('10', '10')",False
288,"('10', '10')",_1,-2,"('11', '10')",False
289,"('11', '10')",0_,-2,"('01', '11')",False
290,"('01', '11')",_0,10,"('00', '01')",False
291,"('00', '01')",2_,-2,"('20', '00')",False
292,"('20', '00')",_2,-2,"('22', '20')",False
293,"('22', '20')",0_,-2,"('02', '22')",False
294,"('02', '22')",0_,-2,"('02', '02')",False
295,"('02', '02')",0_,-2,"('02', '02')",False
296,"('02', '02')",2_,-2,"('22', '02')",False
297,"('22', '02')",_2,-2,"('22', '22')",False
298,"('22', '22')",0_,-2,"('02', '22')",False
299,"('02', '22')",_0,10,"('00', '02')",False
300,"('00', '02')",1_,-2,"('10', '00')",False
301,"('00', '00')",2_,-2,"('20', '00')",False
302,"('20', '00')",_2,-2,"('22', '20')",False
303,"('22', '20')",_2,-2,"('22', '22')",False
304,"('22', '22')",1_,-2,"('12', '22')",False
305,"('12', '22')",_2,-2,"('12', '12')",False
306,"('12', '12')",0_,-2,"('02', '12')",False
307,"('02', '12')",0_,-2,"('02', '02')",False
308,"('02', '02')",_0,10,"('00', '02')",False
309,"('00', '02')",1_,-2,"('10', '00')",False
310,"('10', '00')",_0,-2,"('10', '10')",False
311,"('10', '10')",_0,-2,"('10', '10')",False
312,"('10', '10')",_0,-2,"('10', '10')",False
313,"('10', '10')",_0,-2,"('10', '10')",False
314,"('10', '10')",_0,-2,"('10', '10')",False
315,"('10', '10')",_0,-2,"('10', '10')",False
316,"('10', '10')",_0,-2,"('10', '10')",False
317,"('10', '10')",_0,-2,"('10', '10')",False
318,"('10', '10')",1_,-2,"('10', '10')",False
319,"('10', '10')",0_,-2,"('00', '10')",False
320,"('00', '10')",0_,-2,"('00', '00')",False
321,"('22', '02')",_2,-2,"('22', '22')",False
322,"('22', '22')",_2,-2,"('22', '22')",False
323,"('22', '22')",0_,-2,"('02', '22')",False
324,"('02', '22')",_0,-2,"('00', '02')",False
325,"('00', '02')",2_,-2,"('20', '00')",False
326,"('20', '00')",_2,-2,"('22', '20')",False
327,"('22', '20')",0_,-2,"('02', '22')",False
328,"('02', '22')",_2,-2,"('02', '02')",False
329,"('02', '02')",_0,10,"('00', '02')",False
330,"('00', '02')",2_,-2,"('20', '00')",False
331,"('20', '00')",_0,-2,"('20', '20')",False
332,"('20', '20')",0_,-2,"('00', '20')",False
333,"('00', '20')",0_,-2,"('00', '00')",False
334,"('00', '00')",2_,-2,"('20', '00')",False
335,"('20', '00')",_2,-2,"('22', '20')",False
336,"('22', '20')",0_,-5,"('02', '22')",False
337,"('02', '22')",_2,-2,"('02', '02')",False
338,"('02', '02')",_0,10,"('00', '02')",False
339,"('00', '02')",2_,-2,"('20', '00')",False
340,"('20', '00')",_2,-2,"('22', '20')",False
341,"('10', '00')",2_,-2,"('20', '10')",False
342,"('20', '10')",_2,-2,"('22', '20')",False
343,"('22', '20')",1_,-2,"('12', '22')",False
344,"('12', '22')",0_,-2,"('02', '12')",False
345,"('02', '12')",_0,10,"('00', '02')",True
346,"('02', '01')",_0,10,"('00', '02')",True
347,"('20', '10')",1_,-2,"('10', '20')",False
348,"('10', '20')",_2,-2,"('12', '10')",False
349,"('12', '10')",_0,-2,"('10', '12')",False
350,"('10', '12')",_0,-2,"('10', '10')",False
351,"('10', '10')",_2,-2,"('12', '10')",False
352,"('12', '10')",_0,-2,"('10', '12')",False
353,"('10', '12')",_0,-2,"('10', '10')",False
354,"('10', '10')",_0,-2,"('10', '10')",False
355,"('10', '10')",2_,-2,"('20', '10')",False
356,"('20', '10')",_0,-2,"('20', '20')",False
357,"('20', '20')",0_,-2,"('00', '20')",False
358,"('00', '20')",_0,-2,"('00', '00')",False
359,"('00', '00')",2_,-2,"('20', '00')",False
360,"('20', '00')",1_,-2,"('10', '20')",False
361,"('10', '20')",1_,-2,"('10', '10')",False
362,"('10', '10')",_0,-2,"('10', '10')",False
363,"('10', '10')",_0,-2,"('10', '10')",False
364,"('10', '10')",_2,-2,"('12', '10')",False
365,"('12', '10')",_0,-2,"('10', '12')",False
366,"('10', '12')",_2,-2,"('12', '10')",False
367,"('00', '20')",1_,-2,"('10', '00')",False
368,"('10', '00')",_0,-2,"('10', '10')",False
369,"('10', '10')",2_,-2,"('20', '10')",False
370,"('20', '10')",_0,-2,"('20', '20')",False
371,"('20', '20')",_0,-2,"('20', '20')",False
372,"('20', '20')",1_,-2,"('10', '20')",False
373,"('10', '20')",_2,-2,"('12', '10')",False
374,"('12', '10')",0_,-2,"('02', '12')",False
375,"('02', '12')",_1,-2,"('01', '02')",False
376,"('01', '02')",0_,-2,"('01', '01')",False
377,"('01', '01')",1_,-2,"('11', '01')",False
378,"('11', '01')",_0,-2,"('10', '11')",False
379,"('10', '11')",_0,-2,"('10', '10')",False
380,"('10', '10')",_0,-2,"('10', '10')",False
381,"('10', '10')",_0,-2,"('10', '10')",False
382,"('10', '10')",_0,-2,"('10', '10')",False
383,"('10', '10')",_0,-2,"('10', '10')",False
384,"('10', '10')",_0,-2,"('10', '10')",False
385,"('10', '10')",_0,-2,"('10', '10')",False
386,"('10', '10')",_0,5,"('10', '10')",False
387,"('12', '10')",_0,-2,"('10', '12')",False
388,"('10', '12')",1_,-2,"('10', '10')",False
389,"('10', '10')",_0,-2,"('10', '10')",False
390,"('10', '10')",_1,-2,"('11', '10')",False
391,"('11', '10')",_0,-2,"('10', '11')",False
392,"('10', '11')",1_,5,"('10', '10')",False
393,"('10', '10')",_0,-2,"('10', '10')",False
394,"('10', '10')",_0,-5,"('10', '10')",False
395,"('10', '10')",_0,-2,"('10', '10')",False
396,"('10', '10')",_0,-2,"('10', '10')",False
397,"('10', '10')",_0,-2,"('10', '10')",False
398,"('10', '10')",_0,-2,"('10', '10')",False
399,"('10', '10')",_0,-2,"('10', '10')",False
400,"('10', '10')",_0,-2,"('10', '10')",False
401,"('10', '10')",0_,-2,"('00', '10')",False
402,"('00', '10')",2_,-2,"('20', '00')",False
403,"('20', '00')",1_,-2,"('10', '20')",False
404,"('10', '20')",_2,-2,"('12', '10')",False
405,"('12', '10')",_0,-2,"('10', '12')",False
406,"('10', '12')",1_,-2,"('10', '10')",False
407,"('02', '01')",_0,5,"('00', '02')",True
408,"('01', '01')",_1,-2,"('01', '01')",False
409,"('01', '01')",_0,10,"('00', '01')",True
410,"('02', '00')",_0,-2,"('00', '02')",False
411,"('00', '02')",1_,-2,"('10', '00')",False
412,"('10', '00')",_0,-2,"('10', '10')",False
413,"('10', '10')",_0,-2,"('10', '10')",False
414,"('10', '10')",_0,-2,"('10', '10')",False
415,"('10', '10')",_0,-2,"('10', '10')",False
416,"('10', '10')",_0,-2,"('10', '10')",False
417,"('10', '10')",_0,-2,"('10', '10')",False
418,"('10', '10')",_0,-2,"('10', '10')",False
419,"('10', '10')",_0,-2,"('10', '10')",False
420,"('10', '10')",_0,-2,"('10', '10')",False
421,"('10', '10')",_0,-2,"('10', '10')",False
422,"('10', '10')",_0,-5,"('10', '10')",False
423,"('10', '10')",_0,-2,"('10', '10')",False
424,"('10', '10')",_0,-2,"('10', '10')",False
425,"('10', '10')",_0,-2,"('10', '10')",False
426,"('10', '10')",_0,-2,"('10', '10')",False
427,"('10', '10')",_0,-2,"('10', '10')",False
428,"('10', '10')",0_,-2,"('00', '10')",False
429,"('00', '10')",1_,-2,"('10', '00')",False
430,"('21', '21')",1_,-2,"('11', '21')",False
431,"('11', '21')",_2,-2,"('12', '11')",False
432,"('12', '11')",_0,-2,"('10', '12')",False
433,"('10', '12')",_0,-2,"('10', '10')",False
434,"('10', '10')",_0,-2,"('10', '10')",False
435,"('10', '10')",_0,-2,"('10', '10')",False
436,"('10', '10')",_0,-2,"('10', '10')",False
437,"('10', '10')",0_,5,"('00', '10')",False
438,"('00', '10')",_0,-2,"('00', '00')",False
439,"('00', '00')",1_,-2,"('10', '00')",False
440,"('10', '00')",_0,-2,"('10', '10')",False
441,"('10', '10')",1_,-2,"('10', '10')",False
442,"('10', '10')",_0,-2,"('10', '10')",False
443,"('10', '10')",_0,-2,"('10', '10')",False
444,"('10', '10')",_0,-2,"('10', '10')",False
445,"('10', '10')",_0,-2,"('10', '10')",False
446,"('10', '10')",_0,-2,"('10', '10')",False
447,"('10', '10')",_0,-2,"('10', '10')",False
448,"('10', '10')",_0,-2,"('10', '10')",False
449,"('10', '10')",2_,-2,"('20', '10')",False
450,"('10', '10')",1_,-2,"('10', '10')",False
451,"('10', '10')",1_,-2,"('10', '10')",False
452,"('10', '10')",2_,-2,"('20', '10')",False
453,"('20', '10')",1_,-2,"('10', '20')",False
454,"('10', '20')",2_,-2,"('20', '10')",False
455,"('20', '10')",_2,-2,"('22', '20')",False
456,"('22', '20')",1_,-2,"('12', '22')",False
457,"('12', '22')",_2,-2,"('12', '12')",False
458,"('12', '12')",1_,-2,"('12', '12')",False
459,"('12', '12')",_1,-2,"('11', '12')",False
460,"('11', '12')",1_,-2,"('11', '11')",False
461,"('11', '11')",1_,-2,"('11', '11')",False
462,"('11', '11')",1_,-2,"('11', '11')",False
463,"('11', '11')",1_,-2,"('11', '11')",False
464,"('11', '11')",1_,-2,"('11', '11')",False
465,"('11', '11')",1_,-2,"('11', '11')",False
466,"('11', '11')",1_,-2,"('11', '11')",False
467,"('11', '11')",1_,-2,"('11', '11')",False
468,"('11', '11')",1_,-2,"('11', '11')",False
469,"('11', '11')",_2,-2,"('12', '11')",False
470,"('01', '21')",_0,-2,"('00', '01')",False
471,"('00', '01')",0_,-2,"('00', '00')",False
472,"('00', '00')",1_,-2,"('10', '00')",False
473,"('10', '00')",_0,-2,"('10', '10')",False
474,"('10', '10')",_2,-10,"('12', '10')",False
475,"('12', '10')",_2,-2,"('12', '12')",False
476,"('12', '12')",_2,-2,"('12', '12')",False
477,"('12', '12')",_2,-2,"('12', '12')",False
478,"('12', '12')",_2,-2,"('12', '12')",False
479,"('12', '12')",_2,-2,"('12', '12')",False
480,"('12', '12')",_2,-2,"('12', '12')",False
481,"('12', '12')",_2,-2,"('12', '12')",False
482,"('12', '12')",_2,-2,"('12', '12')",False
483,"('12', '12')",_2,-2,"('12', '12')",False
484,"('12', '12')",_2,-2,"('12', '12')",False
485,"('12', '12')",_2,-2,"('12', '12')",False
486,"('12', '12')",_2,-2,"('12', '12')",False
487,"('12', '12')",_2,-2,"('12', '12')",False
488,"('12', '12')",_2,-2,"('12', '12')",False
489,"('12', '12')",_2,-2,"('12', '12')",False
